0.01,18,0.024211
0.02,15,0.024325
0.03,16,0.0244
0.04,14,0.024499
0.05,16,0.02463
0.06,14,0.024742
0.07,15,0.024862
0.08,12,0.024966
0.09,13,0.025088
0.1,11,0.02519
0.11,11,0.025275
0.12,11,0.025368
0.13,11,0.025469
0.14,11,0.025578
0.15,11,0.025695
0.16,11,0.02582
0.17,11,0.025954
0.18,12,0.026098
0.19,13,0.026254
0.2,14,0.026425
0.21,14,0.026606
0.22,13,0.026789
0.23,13,0.026972
0.24,13,0.027163
0.25,13,0.027361
0.26,13,0.027568
0.27,13,0.027783
0.28,12,0.028006
0.29,12,0.028183
0.3,12,0.028358
0.31,12,0.02854
0.32,12,0.028728
0.33,12,0.028921
0.34,12,0.029121
0.35,11,0.029325
0.36,11,0.029532
0.37,11,0.029745
0.38,11,0.029964
0.39,11,0.030189
0.4,11,0.03042
0.41,11,0.030657
0.42,11,0.030899
0.43,11,0.031148
0.44,11,0.031402
0.45,10,0.031646
0.46,9,0.031874
0.47,9,0.032095
0.48,9,0.032319
0.49,9,0.032548
0.5,9,0.032782
0.51,9,0.03302
0.52,9,0.033263
0.53,9,0.033511
0.54,9,0.033764
0.55,9,0.034021
0.56,9,0.034283
0.57,9,0.03455
0.58,9,0.034821
0.59,10,0.035102
0.6,10,0.035396
0.61,9,0.035692
0.62,9,0.035979
0.63,9,0.036271
0.64,9,0.036568
0.65,9,0.036869
0.66,9,0.037175
0.67,9,0.037486
0.68,9,0.037801
0.69,9,0.038121
0.7,9,0.038446
0.71,8,0.038775
0.72,8,0.039107
0.73,8,0.039443
0.74,8,0.039783
0.75,7,0.040129
0.76,7,0.040474
0.77,7,0.040822
0.78,7,0.041175
0.79,7,0.041533
0.8,7,0.041895
0.81,7,0.042261
0.82,7,0.042632
0.83,7,0.043008
0.84,7,0.043388
0.85,7,0.043773
0.86,7,0.044163
0.87,7,0.044557
0.88,7,0.044955
0.89,7,0.045358
0.9,7,0.045766
0.91,7,0.046178
0.92,7,0.046595
0.93,7,0.047016
0.94,7,0.047442
0.95,7,0.047872
0.96,7,0.048307
0.97,7,0.048747
0.98,7,0.049191
0.99,8,0.049641
1,8,0.050095
